Question,Options,Correct Answer,Predicted Answer,Match
Which malware family checks to ensure it is not being executed inside a virtual machine or a known malware analysis sandbox environment?,"['CozyCar', 'Darkhotel', 'Egregor', 'Squirrelwaffle']",A,B,False
Which MITRE ATT&CK technique does an adversary use when using an RSS feed for command and control?,"['T1098', 'T1086', 'T1105', 'T1102']",D,B,False
Adversaries may search for user activity on the host based on variables such as the speed/frequency of mouse movements and clicks. Which technique is this behavior associated with?,"['T1055', 'T1086', 'T1106', 'T1497']",B,B,True
An adversary gains access to a service ticket for a user. They can now access what?,"['Any account in the domain', ""The user's service account"", 'The Ticket Granting Service (TGS)', ""The user's ticket granting ticket (TGT)""]",D,B,False
Which MITRE ATT&CK technique involves sending phishing emails with malicious links to compromise a victim's system?,"['Spearphishing Link (T1191)', 'Spearphishing Attachment (T1192)', 'Exploitation of Public-Facing Application (T1190)', 'Remote Desktop Protocol (T1076)']",A,A,True
Which of the following is NOT a TAXII binding?,"['RESTful Binding', 'Grpc Binding', 'SMTP Binding', 'SOAP Binding']",C,C,True
"In the context of incident response, which of the following is the best practice for maintaining and exercising incident response plans?","['Take and store data backups from end user systems and critical servers', 'Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise', 'Maintain and exercise incident response plans', 'Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes']",C,C,True
What is the purpose of conducting a post-mortem analysis after an incident?,"['To evaluate the response and improve future efforts', 'To identify the attacker', 'To cover up the incident', 'To update software']",A,A,True
Which of the following is a way an organization can use a Current Profile to communicate its cybersecurity capabilities and known opportunities for improvement with external stakeholders:,"['Business partners', 'Prospective customers', 'Suppliers', 'All of the above']",D,D,True
Which type of IOC would be useful for identifying a data exfiltration attempt?,"['IP Addresses', 'Malicious File Hashes', 'Tactics, Techniques, and Procedures (TTPs)', 'Host Artifacts']",C,D,False
An adversary is using a brute force attack against a Kubernetes cluster to gain unauthorized access. Which of the following tools is most likely to be used by the adversary?,"['Mimikatz', 'CrackMapExec', 'Metasploit', 'PowerShell Empire']",B,B,True
Which of the following is not a potential technique for an adversary to create a backdoor via spoofing the PPID of a new process?,"['Spawning a new process and assigning the parent as a process running as SYSTEM', 'Spawning a new process and assigning the parent as a process running as the current user', 'Spawning a new process and assigning the parent as a process running as a service', 'Spawning a new process and assigning the parent as a process running as a legitimate application']",C,D,False
An adversary has used a compromised VPN account for lateral movement on a targeted network. This technique is associated with the MITRE ATT&CK ID(s):,"['T1078:001 - OS Credential Dumping', 'T1087 - Remote Services', 'T1021:003 - Remote Desktop Protocol', 'T1120 - External Remote Services']",D,B,False
Which of the following is NOT a recommended practice for preparing for an incident response according to NIST SP 800-61 Revision 2?,"['Developing and documenting incident response policies, procedures, and standards', 'Failing to train incident response team members on their roles and responsibilities', 'Conducting regular security assessments and penetration tests without remediation of identified vulnerabilities', 'Ignoring security alerts and alarms from security devices and systems']",C,C,True
Detecting actions related to virtualization and sandbox identification may be difficult depending on the adversary's implementation and monitoring required. Which MITRE ATT&CK technique is this related to?,"['T1086', 'T1087', 'T1123', 'T1125']",B,B,True
Which of the following is a cybersecurity risk management methodology that complements the Tiers in the NIST CSF:,"['Defense-in-Depth (DiD)', 'Risk Analysis and Management (RAM)', 'Threat Intelligence Program (TIP)', 'Risk Assessment and Mitigation (RAM)']",B,D,False
Which of the following is a technique used by adversaries to generate Kerberos Golden Tickets?,"['T1021', 'T1086', 'T1134', 'T1190']",D,D,True
Which MITRE ATT&CK technique is commonly used to establish persistence through scheduled tasks or cron jobs?,"['Scheduled Task (T1053)', 'Registry Run Keys (T1060)', 'File and Directory Discovery (T1083)', 'Remote File Copy (T1105)']",A,A,True
Which incident response team member should have good problem-solving skills and critical thinking abilities?,"['Team Member with strong technical skills', 'Team Member with excellent technical skills', 'Team Member with good communication skills', 'Team Member with excellent communication skills']",A,C,False
Which MITRE ATT&CK technique is used to steal session cookies from a web application?,"['T1003: Credential Dumping', 'T1078: Web Browse and Search', 'T1550: Lateral Movement', 'T1550.004: Steal Web Session Cookie']",D,D,True
A malware sample is found using an existing web server to communicate with its command and control server. Which MITRE ATT&CK technique applies?,"['A) T1132 - Data Encoding', ' B) T1071.001 - Application Layer Protocol: Web Traffic', ' C) T1071.002 - Application Layer Protocol: HTTPS', ' D) T1071.003 - Application Layer Protocol: Web Shell']",B,B,True
Which of the following best practices can help detect lateral movement of an adversary?,"['Monitoring for suspicious account behavior across systems that share accounts, either user, admin, or service accounts.', 'Limiting the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.', 'Not auditing local accounts permission levels routinely', 'Implementing LAPS (Local Administrator Password Solution)']",A,D,False
An industrial control system asset is found to be using hardcoded credentials. Which MITRE ATT&CK technique would an adversary likely use to discover these credentials?,"['a. Credential Dumping (T1003)', 'b. Initial Access (T1078)', 'c. External Remote Services (T1021)', 'd. Interactive Logon (T1020)']",A,D,False
An adversary has obtained a list of password hashes from a compromised system and is attempting to crack them. They are using a technique that involves using a pre-computed list of hashes and guessing the passwords used to compute the hashes. What is a potential method for mitigating the impact of this technique?,"['Use multi-factor authentication.', 'Enable multi-factor authentication on externally facing services.', 'Refer to NIST guidelines when creating password policies.', 'Implement a password hashing algorithm that is resistant to rainbow table attacks.']",C,D,False
What technique involves an adversary using legitimate credentials to access a system or network?,"['Pass the Hash (T1075)', 'Credential Dumping (T1003)', 'Remote Desktop Protocol (T1076)', 'Exploit Public-Facing Application (T1190)']",A,A,True
An adversary is using a password guessing attack against a target system. What might the adversary do to avoid detection by the system's security team?,"['Use a list of complex passwords', 'Use a list of common passwords', 'Use a list of system-specific passwords', 'Use a list of dictionary words']",C,B,False
4. Which cryptographic hash function is preferred for verifying the integrity of control logic or programs loaded on a controller?,"['A) SHA-1', 'B) SHA-2', 'C) MD5', 'D) SHA-3']",B,C,False
An adversary is using a tool to perform a brute force attack against a target system. Which of the following MITRE ATT&CK techniques would best describe the adversary's actions?,"['T1078 (Command and Scripting Interpreter)', 'T1110 (Brute Force)', 'T1087 (PowerShell)', 'T1086 (PowerShell Empire)']",B,B,True
"DE.AE-03, Correlating information from multiple sources","['A) Conducting incident response drills to prepare for potential cybersecurity incidents', 'B) Collecting and analyzing open-source intelligence to gather information on potential threats', 'C) Implementing security controls to prevent adverse events from occurring', 'D) Gathering data from logs and monitoring tools to investigate an incident']",D,D,True
Which MITRE ATT&CK technique does an adversary use when using Pastebin as a Command and Control channel?,"['T1098', 'T1086', 'T1105', 'T1102']",D,A,False
What is the effect of the Grandoreiro malware?,"['It installs malicious browser extensions that are used to hijack user searches', 'It modifies browser permissions and components for Defense Evasion', 'It creates a botnet used for Command and Control', 'It steals cookies and other user information']",D,A,False
An organization is processing data to achieve mission or business purposes. Which type of privacy problem may arise according to NIST?,"['Dignity-type effects (e.g., embarrassment or stigma)', 'Tangible harms (e.g., discrimination, economic loss, or physical harm)', 'Data breaches', 'All of the above']",A,D,False
Which Android API does not allow third-party applications to hold the CAPTURE_AUDIO_OUTPUT permission by default?,"['A) Android', 'B) iOS', 'C) Windows', 'D) macOS']",A,A,True
Which MITRE ATT&CK technique might involve searching the Windows Registry for indicators of a virtual environment?,"['Obfuscation', 'PowerShell Scripting', 'Virtualization/Sandbox Evasion', 'Defense Bypass']",C,C,True
Which action is recommended for ensuring that any patterns are identified and taken into consideration by US-CERT?,"['Pattern Analysis', 'Internal Review', 'Regular Updates', 'Incident Coordination']",C,A,False
Which MITRE ATT&CK technique allows adversaries to bypass application whitelisting?,"['A) T1055', 'B) T1564', 'C) T1567', 'D) T1577']",B,B,True
Which of the following is a technique in the MITRE ATT&CK framework that involves the use of a process injection to execute malicious code in memory?,"['APT1: T1071 - System Network Configuration Discovery', 'APT29: T1055 - Remote Desktop Protocol (RDP)', 'APT32: T1055 - Process Injection', 'APT34: T1086 - PowerShell']",C,C,True
Which MITRE ATT&CK technique (ID) is used to exfiltrate data from a target system using a direct connection to an external server?,"['A. T1041: Exfiltration Over Command and Control Channel', 'B. T1020: Automated Exfiltration', 'C. T1042: Exfiltration Over Alternative Protocol', 'D. T1048: Exfiltration Over Physical Medium']",A,C,False
"What is the primary purpose of using ""Horizon Scanning"" in threat analysis?","['To identify emerging threats and vulnerabilities', 'To assess the effectiveness of current security measures', 'To evaluate the financial impact of recent cyber incidents', 'To analyze the performance of threat intelligence tools']",A,A,True
Which of the following techniques is associated with monitoring networks and network services to find potentially adverse events as described in the NIST CSF 2.0?,"['DE.CM-01', 'DE.AE-01', 'DE.AE-02', 'DE.AE-03']",A,D,False
Which of the following is not a potential technique for an adversary to bypass access control via spoofing the PPID of a new process?,"['Spawning a new process and assigning the parent as a process running as SYSTEM', 'Spawning a new process and assigning the parent as a process running as the current user', 'Spawning a new process and assigning the parent as a process running as a legitimate application', 'Spawning a new process and assigning the parent as a process running as a service']",D,D,True
Which malware family can retrieve browser history and database files?,"['Lazarus', 'Lazarus Group', 'Lizar', 'Lokibot']",C,B,False
20. What is the primary purpose of an ICS historian?,"['A) To monitor network traffic patterns', 'B) To store and analyze historical operational data', 'C) To control physical processes in real-time', 'D) To manage cybersecurity policies']",B,B,True
"Which MITRE ATT&CK technique ID is associated with the use of specific victim conditions to be met (ex: system time, events, etc.) as a time-based evasion tactic?","['A. T1497.001', 'B. T1497.002', 'C. T1497.003', 'D. T1497.004']",D,B,False
Which technique involves using an encrypted channel to exfiltrate data while avoiding detection?,"['Encrypted Channel (T1071)', 'Data Encrypted (T1040)', 'Remote File Copy (T1105)', 'Obfuscated Files or Information (T1027)']",A,A,True
Disabling dedicated hardware encryption on network devices,"['May not be easily detected through network traffic analysis', 'Can be easily detected through network traffic analysis', 'May not be easily detected through log analysis', 'Can be easily detected through log analysis']",A,A,True
"Which of the following components of the NIST Cybersecurity Framework (CSF) guides an organization in understanding and assessing its current or target cybersecurity posture, determining gaps, and assessing progress toward addressing those gaps?","['CSF Tiers', 'CSF Core', 'CSF Organizational Profiles', 'CSF Implementation Examples']",C,B,False
Which MITRE ATT&CK technique involves an adversary using an exploit to gain access to a system via a web application vulnerability?,"['Exploitation of Remote Services (T1210)', 'Web Shell (T1505)', 'Valid Accounts (T1078)', 'Exploit Public-Facing Application (T1190)']",D,D,True
"Which of the following is a way an organization can express its cybersecurity risk management requirements and expectations to suppliers, partners, and other third parties as a target for those parties to achieve:","['Target Profile', 'Community Profile', 'Organizational Profile', 'Current Profile']",A,B,False
Which of the following is a technique used by adversaries to move laterally within a network using DCSync attacks?,"['T1021', 'T1086', 'T1134', 'T1190']",A,D,False
Disabling dedicated hardware encryption on network devices,"['Is a technique that is commonly used in targeted attacks', 'Is a technique that is commonly used in opportunistic attacks', 'Is a technique that is commonly used in advanced attacks', 'Is a technique that is commonly used in basic attacks']",A,D,False
"Which of the following is a way an organization can express its cybersecurity risk management requirements and expectations to suppliers, partners, and other third parties as a target for those parties to achieve:","['Target Profile', 'Community Profile', 'Organizational Profile', 'Current Profile']",A,B,False
Which of the following is an example of an incident?,"['A. A system crash caused by a natural disaster', 'B. An attacker commands a botnet to send high volumes of connection requests to a web server, causing it to crash', 'C. Users are tricked into opening a ""quarterly report"" sent via email that is actually malware', 'D. A user provides or exposes sensitive information to others through peer-to-peer file sharing services']",B,B,True
"RS.AN-06, Recording actions performed during an investigation and preserving records’ integrity and provenance","['Record Keeping', 'Integrity Preservation', 'Investigation Recording', 'Action Documentation']",A,C,False
A security analyst at a healthcare organization has detected a phishing campaign targeting employees. Which MITRE ATT&CK technique is being used in this scenario?,"['Spearphishing Attachment Use (T1192)', 'Initial Access via Phishing (T1566.002)', 'Spearphishing Link (T1191)', 'Phishing: Credential Theft (T1568.001)']",B,B,True
"In MITRE ATT&CK, which technique involves the use of legitimate credentials to move laterally across systems?","['Pass the Hash (T1075)', 'Credential Dumping (T1003)', 'Remote File Copy (T1105)', 'Exploitation of Remote Services (T1210)']",A,A,True
"In MITRE ATT&CK, which technique involves modifying registry keys to ensure persistence across reboots?","['Registry Run Keys (T1060)', 'Scheduled Task (T1053)', 'File and Directory Discovery (T1083)', 'Remote Desktop Protocol (T1076)']",A,A,True
Which of the following techniques allows an adversary to impersonate a user with only a password hash to execute arbitrary commands?,"['Pass the ticket', 'Pass the hash', 'Overpass the hash', 'Kerberos ticket creation']",B,B,True
Which malware family can monitor browser activity for online banking actions and display full-screen overlay images to block user access to the intended site or present additional data fields?,"['Zeus', 'Dridex', 'TrickBot', 'Mispadu']",D,C,False
"An attacker has stolen session cookies from a victim's web application. To bypass multi-factor authentication, the attacker would most likely?","[""Use the stolen cookies to access the victim's email account."", ""Use the stolen cookies to access the victim's cloud-based service."", ""Use the stolen cookies to access the victim's bank account."", ""Use the stolen cookies to access the victim's social media account.""]",B,B,True
"In a domain-controlled environment, an adversary has obtained a user account's credentials through a keylogger. The adversary aims to:","['Gain initial access', 'Perform privilege escalation', 'Perform lateral movement', ""It is difficult to determine the adversary's aims without more information""]",A,C,False
Which MITRE ATT&CK technique involves using a compromised user account to access a system remotely?,"['Remote File Copy (T1105)', 'Remote Desktop Protocol (T1076)', 'Spearphishing Link (T1191)', 'Credential Dumping (T1003)']",B,B,True
Which MITRE ATT&CK technique involves the deletion of user accounts?,"['Account Manipulation', 'Account Lockout', 'Account Disabled', 'Account Deletion']",D,D,True
The ability to identify and articulate common adversary features and behaviors is powerful because:,"[""It allows for the identification of an adversary's infrastructure."", 'It allows for the grouping of like-threads together which share similar processes.', ""It allows for the identification of an adversary's targeted resources."", ""It allows for the identification of an adversary's attack vector.""]",B,B,True
Which malware uses unencrypted HTTP traffic between the victim and C2 infrastructure?,"['AbstractEmu', 'AhRat', 'BOULDSPY', 'Concipit1248']",C,D,False
Which of the following MITRE ATT&CK techniques involves the use of system tools to mask malicious activity?,"['Impersonation', 'Obfuscated Files or Information', 'Data from Local System', 'Command and Control']",B,C,False
Application vetting services may look for indications that the application's update includes malicious code at runtime by,"[""Analyzing the application's network traffic"", ""Reversing the application's executable file"", ""Inspecting the application's binary code"", ""Examining the application's permissions""]",A,D,False
An example of an adversary process derived from the activity thread illustrated in Figure 6 is:,"['A reconnaissance event which includes a web search for “network administrator”, followed by the delivery of an email with a trojanized attachment, followed by a specific and known exploit on the local machine, and finally an HTTP Post leaving the victim.', ""A weaponization event which includes a local exploit on the victim's machine, followed by the delivery of an email with a trojanized attachment, followed by a web search for “network administrator”."", ""An exploitation event which includes a web search for “network administrator”, followed by the delivery of an email with a trojanized attachment, followed by a local exploit on the victim's machine."", ""An installation event which includes a local exploit on the victim's machine, followed by an HTTP Post from the victim, followed by a web search for “network administrator”.""]",A,A,True
An adversary is using a password guessing attack against a target system. What might the adversary do to increase the chances of success if the system has account lockout policies in place that require a certain number of failed login attempts before locking the account?,"['Use a list of complex passwords', 'Use a list of common passwords', 'Use a list of system-specific passwords', 'Use a list of dictionary words']",B,B,True
A cybersecurity professional is tasked with implementing measures to secure access to field controllers in an ICS environment. Which of the following is a recommendation for the authentication mechanisms used on these devices?,"['A. Account Use Policies, Password Policies, and User Account Management', 'B. Segment operational assets by functional role', 'C. Implement bump-in-the-wire devices', 'D. Authenticate all access through a centralized authentication server']",A,D,False
Which technique involves an attacker using a compromised account to execute commands on a remote system via RDP?,"['Remote Desktop Protocol (T1076)', 'Remote Code Execution (T1203)', 'Exploitation of Remote Services (T1210)', 'Credential Dumping (T1003)']",A,A,True
An organization is sharing IOCs with other organizations as part of a formal threat information sharing organization. Which of the following is a recommended practice for protecting sensitive data in these exchanges?,"['Use unencrypted network communications to share the data.', 'Use a standard data format for the exchange of indicators.', 'Use encrypted network communications to share the data.', 'Share the data via email or instant messaging services.']",C,C,True
13. What is the primary function of a PLC in an ICS environment?,"['A) To manage and monitor network traffic', 'B) To control and automate physical processes', 'C) To provide cybersecurity defense mechanisms', 'D) To manage user authentication and authorization']",B,B,True
Adversaries may use which of the following methods to minimize use of network resources during data exfiltration?,"['A) Compression', 'B) Encryption', 'C) XOR', 'D) ZIP']",A,C,False
"Which of the following encryption methods is used by XMLSpy, Golden Cup, and Desert Scorpion to encrypt exfiltrated data?","['A) RC4', 'B) Base64', 'C) ZIP', 'D) XOR']",A,D,False
Which of the following is an example of a function that may be provided by a Security Operations Center (SOC)?,"['Providing cybersecurity threat intelligence', 'Coordinating the incident reporting process for Federal agencies', 'Providing guidance on cybersecurity best practices', 'Managing cybersecurity vulnerabilities in government systems']",D,B,False
Which of the following activities is NOT part of the Risk Assessment function in the NIST CSF 2.0?,"['Vulnerabilities in assets are identified, validated, and recorded', 'Cyber threat intelligence is received from information sharing forums and sources', 'Internal and external threats to the organization are identified and recorded', 'Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded, but not recorded']",D,B,False
"The Diamond Model provides a formal mathematical method for effective graph analysis and grouping, which allows the model to support numerous complementary strategy planning frameworks such as:","['Attack Trees', 'Joint Intelligence Preparation of the Operational Environment (JIOPE)', 'Course of action matrices', 'Active Defense Algorithm and Model (ADAM)']",C,C,True
Which of the following best describes the purpose of TAXII bindings?,"['To limit the exchange of threat intelligence data to specific parties', 'To provide a standardized way for platforms to interact with TAXII', 'To define the format of TAXII messages', 'To enforce access controls on TAXII services']",B,B,True
An adversary has obtained a list of password hashes from a compromised system and is attempting to crack them. They are using a technique that involves using a pre-computed list of hashes and guessing the passwords used to compute the hashes. What is another recommended defense against this technique?,"['Use multi-factor authentication.', 'Enable multi-factor authentication on externally facing services.', 'Monitor authentication logs for system and application login failures of Valid Accounts.', 'Implement a password hashing algorithm that is resistant to rainbow table attacks.']",D,D,True
What is the purpose of monitoring for newly executed processes that may use scripts automatically executed at boot or logon initialization to establish persistence?,"['To detect processes executed during system startup or logon', 'To detect processes executed during system shutdown or logoff', 'To detect processes executed during user session initialization', 'To detect processes executed during process termination']",A,C,False
An attacker is using SpyDealer to maintain persistence on an Android device. They are most likely to:,"['a) Modify the bootloader.', 'b) Install malware on the system partition.', 'c) Create a malicious system app.', 'd) Jailbreak the device and install a malicious app.']",B,C,False
Which MITRE ATT&CK technique does KONNI use to spawn a new cmd process using CreateProcessW and a handle to Taskmgr.exe?,"['T1134', 'T1135', 'T1136', 'T1137']",A,D,False
Which of the following is a reason for using the NIST Cybersecurity Framework (CSF) 2.0?,"['To improve the efficiency of cybersecurity risk management', 'To provide a standardized approach to managing cybersecurity risks', 'To help organizations learn about and select specific outcomes', 'All of the above']",D,D,True
Which technique involves using PowerShell to execute commands and scripts on a compromised system?,"['PowerShell (T1086)', 'Process Injection (T1055)', 'Scheduled Task (T1053)', 'Remote File Copy (T1105)']",A,A,True
Which MITRE ATT&CK technique describes an adversary embedding payloads in images that activate only when double-clicked?,"['T1055', 'T1086', 'T1204', 'T1486']",B,C,False
Which MITRE ATT&CK technique involves extracting sensitive data using a command and control channel?,"['Data Staged (T1074)', 'Exfiltration Over Command and Control (T1041)', 'Data Encrypted (T1040)', 'Input Capture (T1056)']",B,B,True
"An adversary is using an application layer protocol to blend in with existing traffic, avoiding detection/network filtering. Which protocol is least likely to be used for this purpose?","['A. SMTP', 'B. SMB', 'C. SSH', 'D. HTTP']",B,B,True
Which of the following is an example of an External/Removable Media attack vector (MITRE ATT&CK: T1133 – Spearphishing Attachment)?,"['A website defacement', 'A ransomware attack', 'An attack executed from a USB drive containing malicious software', 'A denial of service attack against a web application']",C,C,True
Which of the following is a way to correlate activity with other suspicious behavior to reduce false positives that may be due to normal benign use by users and administrators?,"['Monitoring for API calls associated with detecting token manipulation only through careful analysis of user activity', 'Monitoring for API calls associated with detecting token manipulation only through analyzing command-line activity', 'Monitoring for API calls associated with detecting token manipulation only through network traffic analysis', 'Monitoring for API calls associated with detecting token manipulation only through analyzing user activity']",A,D,False
"According to NIST SP 800-122 [7], which security objective is focused on the confidentiality of PII?","['Integrity', 'Availability', 'Confidentiality', 'Authentication']",C,C,True
Cyclops Blink uses a modified RC script named which of the following?,"['S51armled', 'rc.common', 'rc.local', 'rc.d']",A,B,False
"In a domain-controlled environment, an adversary has compromised the LSASS process memory to obtain domain administrator credentials. The adversary aims to:","['Gain initial access', 'Perform privilege escalation', 'Perform lateral movement', 'Perform defense evasion']",C,B,False
Which of the following is not a step in the Joint Intelligence Preparation of the Operational Environment (JIPOE) process?,"['A. Define the Operational Environment', 'B. Evaluate Adversary Capabilities', 'C. Assess Strategic Objectives', 'D. Identify Critical Infrastructure']",C,C,True
"In a domain-controlled environment, an adversary has obtained a domain administrator's credentials through password spraying. The adversary aims to:","['Gain initial access', 'Perform privilege escalation', 'Perform lateral movement', ""It is difficult to determine the adversary's aims without more information""]",A,B,False
Which technique involves using a network-based attack to exploit vulnerabilities in remote services?,"['Exploitation of Remote Services (T1210)', 'Remote File Copy (T1105)', 'Valid Accounts (T1078)', 'Process Injection (T1055)']",A,A,True
An adversary is attempting to gain unauthorized access to a SaaS application using a brute force attack. Which of the following SaaS applications is most likely to be targeted by the adversary?,"['Google Drive', 'Microsoft OneDrive', 'Microsoft SharePoint', 'Dropbox']",C,C,True
Which technique involves an attacker using a legitimate application to access or execute commands on a target system?,"['Remote File Copy (T1105)', 'Remote Desktop Protocol (T1076)', 'Process Injection (T1055)', 'Exploitation of Public-Facing Application (T1190)']",B,B,True
Scenario 12: Which of the following techniques can be employed to identify phishing emails?,"['Analyzing email headers for anomalies', 'Checking for unusual links or attachments', 'Using machine learning algorithms to detect phishing patterns', 'All of the above']",D,D,True
"Which type of IOC is most difficult for an adversary to change, according to the Pyramid of Pain?","['IP Addresses', 'Malicious File Hashes', 'Tactics, Techniques, and Procedures (TTPs)', 'Domain Names']",C,C,True
What is the primary goal of the Analysis stage in the incident response life cycle?,"['Containing, eradicating, and recovering from the incident', 'Determining the scope of the incident', 'Identifying the root cause of the incident', 'Improving the incident response process']",C,A,False
Which MITRE ATT&CK technique does an adversary use when using Technet and Pastebin web pages for command and control?,"['T1098', 'T1086', 'T1105', 'T1102']",D,D,True
Which of the following is a technique for detecting unauthorized modifications to protected operating system files on Android devices?,"['A) Device attestation', 'B) Locked bootloader', 'C) Security updates', ""D) Android's SafetyNet API""]",D,D,True
GolfSpy encrypts data using which of the following encryption methods prior to exfiltration?,"['A) RC4', 'B) Base64', 'C) XOR', 'D) AES in CBC mode']",C,D,False
Which of the following is an important aspect of proactive cyber threat sharing agreements?,"['Establishing trust between participating organizations during an active cyber incident', 'Including provisions for the improper disclosure of sensitive information', 'Waiting to establish agreements during an active cyber incident', 'Addressing roles, responsibilities, and information handling requirements']",D,D,True
An organization is using the NIST CSF 2.0 to improve its risk management communication and integrate with other risk management programs. Which function of the CSF supports the communication of business needs and the creation of risk-informed Organizational Profiles through collaboration between managers and practitioners?,"['Identify', 'Protect', 'Detect', 'Respond']",A,B,False
Which of the following is a reason for an organization to establish a threat intelligence program?,"['To reduce the cost of cybersecurity services', ""To improve the organization's reputation"", 'To reduce the risk of cyber attacks', 'To increase the speed of cyber attacks']",C,C,True
3. An attacker is attempting to gather information about a physical process state in an ICS environment by examining fields recorded by the DP_RECV monitor. Which malware is the attacker likely using?,"['a) WannaCry', 'b) NotPetya', 'c) Stuxnet', 'd) Zeus']",C,C,True
Which MITRE ATT&CK technique involves creating or modifying system processes to maintain persistence on a compromised system?,"['Create or Modify System Process (T1128)', 'Modify System Process (T1128)', 'Remote File Copy (T1105)', 'Registry Run Keys (T1060)']",A,B,False
Which of the following MITRE ATT&CK techniques involves the use of system tools to manipulate or delete system logs to cover tracks?,"['Data from Local System', 'Command and Control', 'Obfuscated Files or Information', 'Discovery']",D,A,False
Which method can law enforcement use to identify command and control servers?,"['Analyzing traffic patterns between the botnet members and the servers', 'Infiltrating the hacktivist group', 'Shutting down internet infrastructure', 'Monitoring and analyzing DNS domains used by the botnet members']",A,D,False
Which MITRE ATT&CK technique involves an adversary using a compromised user account to access a system remotely?,"['Remote File Copy (T1105)', 'Remote Desktop Protocol (T1076)', 'Spearphishing Link (T1191)', 'Credential Dumping (T1003)']",B,B,True
Which MITRE ATT&CK technique involves adversaries using a one-way communication method via GitLab to perform C2?,"['T1041', 'T1086', 'T1102', 'T1105']",C,B,False
Which MITRE ATT&CK technique is associated with the use of data mining techniques to re-identify individuals in shared IOCs?,"['T1087 - Impersonation', 'T1078 - Valid Accounts', 'T1281 - External Remote Services', 'T1027 - User Execution']",D,D,True
